* 無限回廊 [#d6ba05dd]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|無限回廊		|0|50|0|0|&color(#080){''0''};|

- [[無限回廊>スペシャルダンジョン/無限回廊]]

- 初心者のパズル練習、上級者のやり込み要素的なダンジョン。
- マイナーチェンジでダンジョン報酬無しに変更
- クリアすると[[真・無限回廊>スペシャルダンジョン/真・無限回廊]]が出現
- Ver.7.7で新・無限回廊から無限回廊に名称変更

|~面|~名前	|~ |~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):無限回廊|
|1～4|&mons036; %%%[[ホノりん>モンスター図鑑/0036]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''11''};|&color(#b00){3};|35|2||
|~|&mons038; %%%[[アワりん>モンスター図鑑/0038]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''12''};|&color(#b00){3};|40|2||
|~|&mons040; %%%[[モリりん>モンスター図鑑/0040]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''14''};|&color(#b00){3};|45|2||
|~|&mons042; %%%[[ヒカりん>モンスター図鑑/0042]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''17''};|&color(#b00){3};|55|2||
|~|&mons044; %%%[[ワルりん>モンスター図鑑/0044]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''18''};|&color(#b00){3};|60|2||
|5|&mons082; %%%[[アースゴーレム>モンスター図鑑/0082]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''51''};|&color(#b00){4};|645|18||
|6～9|&mons038; %%%[[アワりん>モンスター図鑑/0038]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''128''};|&color(#b00){3};|427|8||
|~|&mons040; %%%[[モリりん>モンスター図鑑/0040]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''149''};|&color(#b00){3};|480|8||
|~|&mons042; %%%[[ヒカりん>モンスター図鑑/0042]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''181''};|&color(#b00){3};|587|8||
|~|&mons044; %%%[[ワルりん>モンスター図鑑/0044]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''192''};|&color(#b00){3};|640|8||
|~|&mons046; %%%[[レッドカーバンクル>モンスター図鑑/0046]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''213''};|&color(#b00){2};|427|12||
|~|&mons048; %%%[[ブルーカーバンクル>モンスター図鑑/0048]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''224''};|&color(#b00){2};|480|12||
|~|&mons050; %%%[[グリーンカーバンクル>モンスター図鑑/0050]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''245''};|&color(#b00){2};|533|12||
|~|&mons052; %%%[[イエローカーバンクル>モンスター図鑑/0052]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''256''};|&color(#b00){2};|587|12||
|~|&mons054; %%%[[パープルカーバンクル>モンスター図鑑/0054]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''288''};|&color(#b00){2};|693|12||
|~|&mons056; %%%[[レッドゴブリン>モンスター図鑑/0056]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''288''};|&color(#b00){4};|693|12||
|~|&mons058; %%%[[ブルーゴブリン>モンスター図鑑/0058]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''320''};|&color(#b00){4};|800|12||
|~|&mons060; %%%[[ゴブリン>モンスター図鑑/0060]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''373''};|&color(#b00){4};|960|12||
|~|&mons154; %%%[[ドラゴンフラワー>モンスター図鑑/0154]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1508''};|&color(#b00){4};||5||
|10|&mons106; %%%[[タイタン>モンスター図鑑/0106]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1045''};|&color(#b00){5};|16533|80||
|11～14|&mons038; %%%[[アワりん>モンスター図鑑/0038]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''205''};|&color(#b00){3};|684|12||
|~|&mons040; %%%[[モリりん>モンスター図鑑/0040]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''240''};|&color(#b00){3};|770|12||
|~|&mons054; %%%[[パープルカーバンクル>モンスター図鑑/0054]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''462''};|&color(#b00){2};|1112|18||
|~|&mons058; %%%[[ブルーゴブリン>モンスター図鑑/0058]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''513''};|&color(#b00){4};|1283|18||
|~|&mons060; %%%[[ゴブリン>モンスター図鑑/0060]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''599''};|&color(#b00){4};|1540|18||
|~|&mons070; %%%[[アクアファイター>モンスター図鑑/0070]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''702''};|&color(#b00){3};|2310|60||
|~|&mons072; %%%[[アースファイター>モンスター図鑑/0072]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''753''};|&color(#b00){3};|2481|60||
|~|&mons074; %%%[[ホワイトファイター>モンスター図鑑/0074]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''650''};|&color(#b00){2};|2823|60||
|~|&mons076; %%%[[ブラックファイター>モンスター図鑑/0076]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''770''};|&color(#b00){2};|2994|60||
|~|&mons062; %%%[[レッドオーガ>モンスター図鑑/0062]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1181''};|&color(#b00){5};|5647|0||
|~|&mons064; %%%[[ブルーオーガ>モンスター図鑑/0064]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''1232''};|&color(#b00){5};|6074|0||
|~|&mons066; %%%[[オーガ>モンスター図鑑/0066]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1318''};|&color(#b00){5};|6502|0||
|~|&mons154; %%%[[ドラゴンフラワー>モンスター図鑑/0154]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1508''};|&color(#b00){4};|5025|5||
|15|&mons107; %%%[[ギガンテス>モンスター図鑑/0107]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''2926''};|&color(#b00){5};|43976|400||
|16～19|&mons068; %%%[[フレイムファイター>モンスター図鑑/0068]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1140''};|&color(#b00){3};|3750|100||
|~|&mons070; %%%[[アクアファイター>モンスター図鑑/0070]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''1230''};|&color(#b00){3};|4050|100||
|~|&mons072; %%%[[アースファイター>モンスター図鑑/0072]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1320''};|&color(#b00){3};|4350|100||
|~|&mons074; %%%[[ホワイトファイター>モンスター図鑑/0074]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''1140''};|&color(#b00){3};|4950|100||
|~|&mons076; %%%[[ブラックファイター>モンスター図鑑/0076]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''1350''};|&color(#b00){3};|5250|100||
|~|&mons078; %%%[[フレイムゴーレム>モンスター図鑑/0078]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1080''};|&color(#b00){4};|16350|180||
|~|&mons080; %%%[[アイスゴーレム>モンスター図鑑/0080]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''1320''};|&color(#b00){4};|17850|180||
|~|&mons082; %%%[[アースゴーレム>モンスター図鑑/0082]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1530''};|&color(#b00){4};|19350|180||
|20|&mons150; %%%[[光の番人>モンスター図鑑/0150]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3023''};|&color(#b00){3};|200075|300||
|21～24|&mons047; %%%[[ルビーカーバンクル>モンスター図鑑/0047]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1077''};|&color(#b00){2};|3307|56||
|~|&mons049; %%%[[サファイアカーバンクル>モンスター図鑑/0049]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''1109''};|&color(#b00){2};|3360|56||
|~|&mons051; %%%[[エメラルドカーバンクル>モンスター図鑑/0051]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''1141''};|&color(#b00){2};|3413|56||
|~|&mons053; %%%[[トパーズカーバンクル>モンスター図鑑/0053]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''1173''};|&color(#b00){2};|3467|56||
|~|&mons055; %%%[[アメジストカーバンクル>モンスター図鑑/0055]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''1237''};|&color(#b00){2};|3573|56||
|~|&mons068; %%%[[フレイムファイター>モンスター図鑑/0068]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''1140''};|&color(#b00){3};|3750|100||
|~|&mons070; %%%[[アクアファイター>モンスター図鑑/0070]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''1230''};|&color(#b00){3};|4050|100||
