* 降臨チャレンジ！11【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]

|~名称		|~スタミナ|~バトル|~備考|~宝玉|~クリア報酬|
||RIGHT:|RIGHT:|||BGCOLOR(#ffd):|c
|>|>|>|>|>|BGCOLOR(#ffffff):【11】2015/11/20～2015/12/06（クリア期限は12/07まで）&br;※「超地獄級」と「絶地獄級」で稀に四獣の神が出現、対応する『精霊の宝玉』をドロップ|
|&mons2206; スカーレット 降臨！【特殊】		|50|7|[[スカーレット降臨！>スペシャルダンジョン/スカーレット降臨！]]&br;絶地獄級|&mons754;|[[ヤミピィ>モンスター図鑑/1551]]＋[[ぷれドラ>モンスター図鑑/2250]]|
|&mons1845; ノルディス 降臨！【特殊】		|50|10|[[ノルディス降臨！>スペシャルダンジョン/ノルディス降臨！]]&br;絶地獄級|&mons752;|[[ヒカピィ>モンスター図鑑/1550]]＋1000万コイン|
|&mons1847; ゼローグ∞ 降臨！【特殊】		|50|10|[[ゼローグ∞降臨！>スペシャルダンジョン/ゼローグ∞降臨！]]&br;絶地獄級|&mons750;|[[モクピィ>モンスター図鑑/1549]]＋6000友情ポイント|
|&mons2234; デウス＝エクス＝マキナ 降臨！		|50|7|[[デウス＝エクス＝マキナ降臨！>スペシャルダンジョン/デウス＝エクス＝マキナ降臨！]]&br;超地獄級|&mons748;|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1922; ゼウス＆ヘラ 降臨！		|50|6|[[ゼウス＆ヘラ降臨！>スペシャルダンジョン/ゼウス＆ヘラ降臨！]]&br;超地獄級|&mons746;|[[ホノピィ>モンスター図鑑/1547]]|
|&mons1760; ソニア＝グラン 降臨！		|50|6|[[ソニア＝グラン降臨！>スペシャルダンジョン/ソニア＝グラン降臨！]]&br;超地獄級|&mons754;|[[ヤミピィ>モンスター図鑑/1551]]|
|&mons2263; インディゴ 降臨！【7×6マス】	|50|6|[[インディゴ降臨！>スペシャルダンジョン/インディゴ降臨！]]&br;超地獄級|&mons752;|[[ヒカピィ>モンスター図鑑/1550]]|
|&mons2383; エーギル 降臨！【7×6マス】	|50|6|[[エーギル降臨！>スペシャルダンジョン/エーギル降臨！]]&br;超地獄級|&mons750;|[[モクピィ>モンスター図鑑/1549]]|
|&mons2402; ヘル 降臨！	|50|6|[[ヘル降臨！>スペシャルダンジョン/ヘル降臨！]]&br;超地獄級|&mons748;|[[ミズピィ>モンスター図鑑/1548]]|
|&mons2398; スルト 降臨！【全属性必須】		|50|5|[[スルト降臨！>スペシャルダンジョン/スルト降臨！]]&br;超地獄級|&mons746;|[[ホノピィ>モンスター図鑑/1547]]|
|&mons2400; ヘイムダル 降臨！	|50|5|[[ヘイムダル降臨！>スペシャルダンジョン/ヘイムダル降臨！]]&br;超地獄級|&mons754;|[[潜在たまドラ☆闇ダメージ軽減>モンスター図鑑/2216]]|
|&mons2320; ヨルズ 降臨！	|50|6|[[ヨルズ降臨！>スペシャルダンジョン/ヨルズ降臨！]]&br;超地獄級|&mons752;|[[潜在たまドラ☆光ダメージ軽減>モンスター図鑑/2215]]|
|&mons1461; ノア 降臨！【全属性必須】	|50|6|[[ノア降臨！>スペシャルダンジョン/ノア降臨！]]&br;超地獄級|&mons750;|[[潜在たまドラ☆木ダメージ軽減>モンスター図鑑/2214]]|
|&mons2104; 周瑜 参上！【全属性必須】	|50|6|[[周瑜 参上！>スペシャルダンジョン/周瑜 参上！]]&br;超地獄級|&mons748;|[[潜在たまドラ☆水ダメージ軽減>モンスター図鑑/2213]]|
|&mons1189; ヘラ・ベオーク 降臨！		|50|5|[[ヘラ・ベオーク降臨！>スペシャルダンジョン/ヘラ・ベオーク降臨！]]&br;超地獄級|&mons746;|[[潜在たまドラ☆火ダメージ軽減>モンスター図鑑/2212]]|
